Referee,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR
M Oliver,2,0,H,1,0,H,12,8,0,0,0,0
P Tierney,5,1,H,1,0,H,11,9,1,2,0,0
D Coote,1,2,A,1,0,H,10,7,2,1,0,0
J Moss,3,0,H,2,0,H,15,11,0,0,0,0
A Madley,3,1,H,0,1,A,13,15,2,0,0,0
C Pawson,1,0,H,1,0,H,6,10,1,2,0,0
M Dean,3,2,H,2,0,H,18,13,3,1,0,0
A Marriner,0,3,A,0,1,A,4,14,1,1,0,0
M Atkinson,2,4,A,2,1,H,4,3,1,0,0,0
A Taylor,1,0,H,0,0,D,11,8,2,1,0,0
M Dean,2,0,H,1,0,H,6,12,0,0,0,0
D Coote,2,0,H,1,0,H,8,18,3,4,0,0
M Atkinson,0,0,D,0,0,D,12,9,3,1,0,0
D England,2,2,D,1,1,D,6,13,2,4,0,0
G Scott,5,0,H,2,0,H,13,7,1,0,0,0
A Taylor,2,0,H,2,0,H,11,6,4,0,0,0
C Pawson,1,1,D,1,0,H,12,10,2,3,0,0
S Attwell,0,1,A,0,1,A,9,7,1,4,0,0
P Tierney,0,2,A,0,2,A,10,4,3,0,0,0
M Oliver,4,1,H,1,0,H,8,8,0,1,0,1
M Atkinson,5,0,H,3,0,H,5,7,1,2,0,1
P Bankes,1,1,D,1,1,D,15,14,3,3,0,0
J Moss,0,2,A,0,1,A,7,9,1,2,0,0
P Tierney,2,2,D,0,0,D,11,6,3,3,0,0
R Jones,1,2,A,1,1,D,8,9,2,1,0,0
S Attwell,2,2,D,1,0,H,10,7,1,0,0,0
A Taylor,1,1,D,1,1,D,13,4,0,2,0,1
M Oliver,1,1,D,0,0,D,13,9,4,3,0,0
A Marriner,1,0,H,1,0,H,8,14,3,3,0,0
M Dean,0,1,A,0,0,D,7,9,3,4,0,0
J Moss,3,0,H,0,0,D,13,15,2,1,0,1
M Oliver,1,0,H,0,0,D,9,11,1,2,0,0
G Scott,0,1,A,0,0,D,9,12,3,2,0,0
P Tierney,0,1,A,0,0,D,4,11,1,2,0,0
A Taylor,4,1,H,1,0,H,9,2,1,0,0,0
D Coote,0,0,D,0,0,D,10,12,3,1,0,1
P Bankes,0,2,A,0,0,D,15,13,3,3,0,0
S Attwell,3,0,H,1,0,H,11,11,1,4,0,0
C Pawson,0,3,A,0,1,A,9,8,2,1,1,0
